var_set,n_background,feature_types,beta_multiplier,train_auc,test_auc,auc_gap
top 10,20000,linear+quadratic,0.5,0.9247,0.9678,-0.0431
top 10,20000,linear+quadratic,1.0,0.9242,0.966,-0.0418
top 10,20000,linear+quadratic,1.5,0.9234,0.965,-0.0416
top 10,20000,linear+quadratic,2.0,0.9227,0.9642,-0.0415
top 10,20000,linear+quadratic,3.0,0.9216,0.9632,-0.0415
top 18,20000,linear+quadratic,3.0,0.9198,0.9592,-0.0394
top 18,20000,linear+quadratic,2.0,0.9206,0.9591,-0.0385
top 18,20000,linear+quadratic,1.5,0.9211,0.9588,-0.0377
top 18,20000,linear+quadratic,1.0,0.9217,0.9588,-0.037
top 18,20000,linear+quadratic,0.5,0.9227,0.9587,-0.0361
all 24,20000,linear+quadratic,0.5,0.9231,0.9557,-0.0326
all 24,20000,linear+quadratic,1.0,0.9214,0.9556,-0.0342
all 24,20000,linear+quadratic,1.5,0.9209,0.9555,-0.0347
all 24,20000,linear+quadratic,2.0,0.9205,0.9555,-0.035
all 24,20000,linear+quadratic,3.0,0.9197,0.9551,-0.0354
all 24,20000,linear+quadratic+hinge+product,3.0,0.9351,0.9537,-0.0186
all 24,20000,linear+quadratic+hinge+product,2.0,0.9385,0.9536,-0.0151
all 24,20000,linear+quadratic+hinge+product,1.5,0.9423,0.9535,-0.0112
top 10,20000,linear+quadratic+hinge+product,3.0,0.9246,0.9526,-0.0279
top 10,20000,linear+quadratic+hinge+product,2.0,0.9256,0.952,-0.0264
top 10,20000,linear+quadratic+hinge+product,1.5,0.9265,0.951,-0.0245
all 24,20000,linear+quadratic+hinge+product,1.0,0.9487,0.9506,-0.0019
all 24,20000,linear+quadratic+hinge+product,0.5,0.956,0.9495,0.0065
top 10,20000,linear+quadratic+hinge+product,1.0,0.9286,0.9488,-0.0201
top 18,20000,linear+quadratic+hinge+product,0.5,0.9321,0.9479,-0.0158
top 18,20000,linear+quadratic+hinge+product,1.5,0.9265,0.9479,-0.0214
top 18,20000,linear+quadratic+hinge+product,1.0,0.9279,0.9479,-0.0201
top 18,20000,linear+quadratic+hinge+product,2.0,0.9258,0.9469,-0.0211
top 18,20000,linear+quadratic+hinge+product,3.0,0.9247,0.9454,-0.0207
top 10,20000,linear+quadratic+hinge+product,0.5,0.9311,0.9453,-0.0143
top 10,10000,linear+quadratic,1.0,0.9277,0.9384,-0.0107
top 10,10000,linear+quadratic,1.5,0.9262,0.9381,-0.012
top 10,10000,linear+quadratic,2.0,0.925,0.9379,-0.0129
top 18,10000,linear+quadratic,1.0,0.9218,0.9375,-0.0156
all 24,10000,linear+quadratic,2.0,0.9191,0.9374,-0.0183
top 18,10000,linear+quadratic,1.5,0.92,0.9374,-0.0174
top 18,10000,linear+quadratic,2.0,0.9191,0.9374,-0.0183
all 24,10000,linear+quadratic,1.5,0.9199,0.9373,-0.0174
top 10,10000,linear+quadratic,3.0,0.9237,0.9371,-0.0134
all 24,10000,linear+quadratic,1.0,0.9223,0.9371,-0.0148
all 24,10000,linear+quadratic,3.0,0.918,0.9367,-0.0187
top 18,10000,linear+quadratic,3.0,0.918,0.9366,-0.0185
top 10,10000,linear+quadratic,0.5,0.9291,0.9346,-0.0056
top 18,10000,linear+quadratic,0.5,0.9253,0.9308,-0.0055
all 24,10000,linear+quadratic,0.5,0.9262,0.9292,-0.003
top 10,5000,linear+quadratic,0.5,0.9406,0.9164,0.0243
top 10,5000,linear+quadratic,1.0,0.9402,0.9154,0.0249
top 10,5000,linear+quadratic,1.5,0.9397,0.9132,0.0266
top 10,5000,linear+quadratic,2.0,0.9393,0.9118,0.0275
top 10,5000,linear+quadratic,3.0,0.9382,0.9102,0.028
all 24,5000,linear+quadratic,1.0,0.9361,0.9008,0.0353
top 18,5000,linear+quadratic,1.0,0.936,0.9006,0.0354
all 24,5000,linear+quadratic,0.5,0.939,0.9001,0.0389
all 24,5000,linear+quadratic,2.0,0.9322,0.9001,0.032
