Variable,Filename,Source
Max_Temp_of_Warmest_Month,Max_Temp_of_Warmest_Month.tif,BioClim
Mean_Diurnal_Range,Mean_Diurnal_Range.tif,BioClim
Mean_Temp_of_Driest_Quarter,Mean_Temp_of_Driest_Quarter.tif,BioClim
Mean_Temp_of_Wettest_Quarter,Mean_Temp_of_Wettest_Quarter.tif,BioClim
Min_Temp_of_Coldest_Month,Min_Temp_of_Coldest_Month.tif,BioClim
Precipitation_Seasonality,Precipitation_Seasonality.tif,BioClim
Precipitation_of_Coldest_Quarter,Precipitation_of_Coldest_Quarter.tif,BioClim
Precipitation_of_Driest_Month,Precipitation_of_Driest_Month.tif,BioClim
Precipitation_of_Driest_Quarter,Precipitation_of_Driest_Quarter.tif,BioClim
Precipitation_of_Warmest_Quarter,Precipitation_of_Warmest_Quarter.tif,BioClim
Precipitation_of_Wettest_Quarter,Precipitation_of_Wettest_Quarter.tif,BioClim
Temperature_Annual_Range,Temperature_Annual_Range.tif,BioClim
Temperature_Seasonality,Temperature_Seasonality.tif,BioClim
Elevation_USGS_DEM,Elevation_USGS_DEM.tif,DEM
