Variable,Filename,Source
Max_Temp_of_Warmest_Month,Max_Temp_of_Warmest_Month.tif,BioClim
Mean_Diurnal_Range,Mean_Diurnal_Range.tif,BioClim
Mean_Temp_of_Driest_Quarter,Mean_Temp_of_Driest_Quarter.tif,BioClim
Mean_Temp_of_Wettest_Quarter,Mean_Temp_of_Wettest_Quarter.tif,BioClim
Min_Temp_of_Coldest_Month,Min_Temp_of_Coldest_Month.tif,BioClim
Precipitation_Seasonality,Precipitation_Seasonality.tif,BioClim
Precipitation_of_Coldest_Quarter,Precipitation_of_Coldest_Quarter.tif,BioClim
Precipitation_of_Driest_Month,Precipitation_of_Driest_Month.tif,BioClim
Precipitation_of_Warmest_Quarter,Precipitation_of_Warmest_Quarter.tif,BioClim
Precipitation_of_Wettest_Quarter,Precipitation_of_Wettest_Quarter.tif,BioClim
Temperature_Annual_Range,Temperature_Annual_Range.tif,BioClim
Temperature_Seasonality,Temperature_Seasonality.tif,BioClim
Elevation_USGS_DEM,Elevation_USGS_DEM.tif,DEM
Annual_Potential_Evapotranspiration,Annual_Potential_Evapotranspiration.tif,Envirem
EmbergerQ,EmbergerQ.tif,Envirem
Min_Temp_of_Warmest_Period,Min_Temp_of_Warmest_Period.tif,Envirem
Month_Count_Temp_above_10_C,Month_Count_Temp_above_10_C.tif,Envirem
PET_Seasonality,PET_Seasonality.tif,Envirem
PET_of_Coldest_Quarter,PET_of_Coldest_Quarter.tif,Envirem
PET_of_Driest_Quarter,PET_of_Driest_Quarter.tif,Envirem
PET_of_Warmest_Quarter,PET_of_Warmest_Quarter.tif,Envirem
PET_of_Wettest_Quarter,PET_of_Wettest_Quarter.tif,Envirem
Terrain_Ruggedness_Index,Terrain_Ruggedness_Index.tif,Envirem
Topographic_Wetness_Index,Topographic_Wetness_Index.tif,Envirem
