Species,Longitude,Latitude
Bipes biporus,-113.99917,28.28278
Bipes biporus,-113.94238,28.26377
Bipes biporus,-113.478,28.2454
Bipes biporus,-110.3385,24.13083
Bipes biporus,-110.2167,23.45
Bipes biporus,-113.21333,27.38833
Bipes biporus,-110.31086,24.1424
Bipes biporus,-113.22072,27.39953
Bipes biporus,-113.69365,27.82275
Bipes biporus,-113.38304,27.64377
Bipes biporus,-113.2332,27.40415
Bipes biporus,-113.2645,27.42771
Bipes biporus,-113.13184,27.34039
Bipes biporus,-113.20067,27.38731
Bipes biporus,-113.34326,27.5652
Bipes biporus,-113.19213,27.38047
Bipes biporus,-110.54919,24.18933
Bipes biporus,-110.37083,24.10378
Bipes biporus,-113.4425,27.64778
Bipes biporus,-113.48,27.96
Bipes biporus,-112.05389,25.48722
Bipes biporus,-110.53392,24.20081
Bipes biporus,-110.77,24.13
Bipes biporus,-110.30008,24.03748
Bipes biporus,-110.36667,24.08333
Bipes biporus,-110.27624,24.10321
Bipes biporus,-111.91667,25.48333
Bipes biporus,-110.3667,24.1
Bipes biporus,-110.32,24.11
Bipes biporus,-110.35667,24.02389
Bipes biporus,-110.29282,24.00917
Bipes biporus,-110.32833,23.92833
Bipes biporus,-110.76923,23.90112
Bipes biporus,-110.83228,24.01177
Bipes biporus,-110.73205,23.97039
Bipes biporus,-110.4274,24.13547
Bipes biporus,-110.87485,24.03206
Bipes biporus,-110.30352,24.15313
Bipes biporus,-110.31421,24.10397
Bipes biporus,-110.31273,24.14267
Bipes biporus,-110.23441,23.74072
Bipes biporus,-110.02544,23.79308
Bipes biporus,-112.15556,24.66335
Bipes biporus,-112.51687,26.24377
Bipes biporus,-112.50664,26.23928
Bipes biporus,-110.27526,23.95271
Bipes biporus,-113.33011,27.3011
Bipes biporus,-113.56883,26.73807
Bipes biporus,-111.55742,24.78082
