Species,Latitude,Longitude
Bipes biporus,28.28278,-113.99917
Bipes biporus,28.26377,-113.94238
Bipes biporus,28.24540,-113.47800
Bipes biporus,24.13083,-110.33850
Bipes biporus,23.45000,-110.21670
Bipes biporus,27.38833,-113.21333
Bipes biporus,24.14240,-110.31086
Bipes biporus,24.14240,-110.31086
Bipes biporus,24.14222,-110.31083
Bipes biporus,27.39953,-113.22072
Bipes biporus,27.82275,-113.69365
Bipes biporus,27.64377,-113.38304
Bipes biporus,27.40415,-113.23320
Bipes biporus,27.42771,-113.26450
Bipes biporus,27.34039,-113.13184
Bipes biporus,27.38731,-113.20067
Bipes biporus,27.56520,-113.34326
Bipes biporus,27.38047,-113.19213
Bipes biporus,24.18933,-110.54919
Bipes biporus,24.10378,-110.37083
Bipes biporus,27.64778,-113.44250
Bipes biporus,27.96000,-113.48000
Bipes biporus,25.48722,-112.05389
Bipes biporus,24.20081,-110.53392
Bipes biporus,24.14222,-110.31083
Bipes biporus,24.13000,-110.77000
Bipes biporus,24.03748,-110.30008
Bipes biporus,24.08333,-110.36667
Bipes biporus,24.10321,-110.27624
Bipes biporus,25.48333,-111.91667
Bipes biporus,24.10000,-110.36670
Bipes biporus,24.11000,-110.32000
Bipes biporus,24.02389,-110.35667
Bipes biporus,24.00917,-110.29282
Bipes biporus,24.08333,-110.36667
Bipes biporus,23.92833,-110.32833
Bipes biporus,23.90112,-110.76923
Bipes biporus,24.01177,-110.83228
Bipes biporus,23.97039,-110.73205
Bipes biporus,24.13547,-110.42740
Bipes biporus,24.13494,-110.42868
Bipes biporus,24.03206,-110.87485
Bipes biporus,24.15313,-110.30352
Bipes biporus,24.10397,-110.31421
Bipes biporus,24.14267,-110.31273
Bipes biporus,23.74072,-110.23441
Bipes biporus,23.79308,-110.02544
Bipes biporus,24.66335,-112.15556
Bipes biporus,26.24377,-112.51687
Bipes biporus,26.23928,-112.50664
Bipes biporus,23.95271,-110.27526
Bipes biporus,27.30110,-113.33011
Bipes biporus,26.73807,-113.56883
Bipes biporus,24.78082,-111.55742
Bipes biporus,24.14240,-110.31086
